#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:33329391	(2020) Oncology and Pharmacogenomics Insights in Polycystic Ovary Syndrome: An Integrative Analysis.	7	127	1.67	0.00054	9606.ENSP00000215832,9606.ENSP00000300055,9606.ENSP00000324856,9606.ENSP00000361021,9606.ENSP00000365777,9606.ENSP00000375844,9606.ENSP00000389814	MAPK1,PLIN1,STK11,PTEN,MTHFR,CAPN10,ADIPOQ
PMID:18719601	(2008) AMPK: a key regulator of energy balance in the single cell and the whole organism.	3	5	2.71	0.0114	9606.ENSP00000324856,9606.ENSP00000335074,9606.ENSP00000389814	STK11,GHRL,ADIPOQ
PMID:15733742	(2005) AMP-activated protein kinase: balancing the scales.	3	5	2.71	0.0114	9606.ENSP00000324856,9606.ENSP00000335074,9606.ENSP00000389814	STK11,GHRL,ADIPOQ
PMID:15509864	(2004) The AMP-activated protein kinase pathway--new players upstream and downstream.	3	5	2.71	0.0114	9606.ENSP00000324856,9606.ENSP00000335074,9606.ENSP00000389814	STK11,GHRL,ADIPOQ
PMID:30838002	(2019) Transcriptome Profiles of Human Visceral Adipocytes in Obesity and Colorectal Cancer Unravel the Effects of Body Mass Index and Polyunsaturated Fatty Acids on Genes and Biological Processes Related to Tumorigenesis.	5	93	1.66	0.0115	9606.ENSP00000304592,9606.ENSP00000361021,9606.ENSP00000365777,9606.ENSP00000375844,9606.ENSP00000389814	FASN,PTEN,MTHFR,CAPN10,ADIPOQ
PMID:31387271	(2019) Relationship of the Phytochemicals from Coffee and Cocoa By-Products with their Potential to Modulate Biomarkers of Metabolic Syndrome In Vitro.	4	33	2.01	0.0117	9606.ENSP00000300055,9606.ENSP00000304592,9606.ENSP00000361021,9606.ENSP00000389814	PLIN1,FASN,PTEN,ADIPOQ
PMID:23691481	(2012) Role of adiponectin and its receptors in cancer.	4	33	2.01	0.0117	9606.ENSP00000215832,9606.ENSP00000324856,9606.ENSP00000361021,9606.ENSP00000389814	MAPK1,STK11,PTEN,ADIPOQ
PMID:33772116	(2021) INPP4B protects from metabolic syndrome and associated disorders.	4	37	1.96	0.0135	9606.ENSP00000304592,9606.ENSP00000335074,9606.ENSP00000361021,9606.ENSP00000389814	FASN,GHRL,PTEN,ADIPOQ
PMID:34751249	(2021) S1P Signaling Pathways in Pathogenesis of Type 2 Diabetes.	4	35	1.99	0.0135	9606.ENSP00000300055,9606.ENSP00000344220,9606.ENSP00000377532,9606.ENSP00000389814	PLIN1,PDPK1,PC,ADIPOQ
PMID:34822423	(2021) Fatty Acid Metabolism Reprogramming in Advanced Prostate Cancer.	4	35	1.99	0.0135	9606.ENSP00000304592,9606.ENSP00000335074,9606.ENSP00000361021,9606.ENSP00000389814	FASN,GHRL,PTEN,ADIPOQ
PMID:30691108	(2019) Metabolic Reprogramming in Breast Cancer and Its Therapeutic Implications.	5	98	1.64	0.0135	9606.ENSP00000300055,9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000361021,9606.ENSP00000389814	PLIN1,FASN,STK11,PTEN,ADIPOQ
PMID:31052147	(2019) The Emerging Role of Adiponectin in Female Malignancies.	4	36	1.98	0.0135	9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000361021,9606.ENSP00000389814	FASN,STK11,PTEN,ADIPOQ
PMID:32082357	(2019) Epigenetics and In Utero Acquired Predisposition to Metabolic Disease.	5	102	1.62	0.0135	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000349860,9606.ENSP00000361021,9606.ENSP00000389814	MAPK1,PDPK1,GFPT1,PTEN,ADIPOQ
PMID:28938091	(2017) Targeting Metabolism for Cancer Therapy.	4	36	1.98	0.0135	9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000361021,9606.ENSP00000377532	FASN,STK11,PTEN,PC
PMID:25579139	(2014) Genetic & epigenetic approach to human obesity.	4	36	1.98	0.0135	9606.ENSP00000300055,9606.ENSP00000335074,9606.ENSP00000375844,9606.ENSP00000389814	PLIN1,GHRL,CAPN10,ADIPOQ
PMID:24039668	(2013) Induction of the unfolded protein response drives enhanced metabolism and chemoresistance in glioma cells.	4	37	1.96	0.0135	9606.ENSP00000304592,9606.ENSP00000361021,9606.ENSP00000389814,9606.ENSP00000480150	FASN,PTEN,ADIPOQ,HYOU1
PMID:21399626	(2011) Structure of mammalian AMPK and its regulation by ADP.	3	6	2.63	0.0135	9606.ENSP00000324856,9606.ENSP00000335074,9606.ENSP00000389814	STK11,GHRL,ADIPOQ
PMID:19786641	(2009) Molecular insights and therapeutic targets for diabetic endothelial dysfunction.	4	36	1.98	0.0135	9606.ENSP00000324856,9606.ENSP00000335074,9606.ENSP00000361021,9606.ENSP00000389814	STK11,GHRL,PTEN,ADIPOQ
PMID:11743131	(2001) Peripheral signals conveying metabolic information to the brain: short-term and long-term regulation of food intake and energy homeostasis.	3	6	2.63	0.0135	9606.ENSP00000300055,9606.ENSP00000335074,9606.ENSP00000389814	PLIN1,GHRL,ADIPOQ
PMID:33318863	(2021) Hydrogen sulfide regulates insulin secretion and insulin resistance in diabetes mellitus, a new promising target for diabetes mellitus treatment? A review.	4	38	1.95	0.0138	9606.ENSP00000300055,9606.ENSP00000361021,9606.ENSP00000377532,9606.ENSP00000389814	PLIN1,PTEN,PC,ADIPOQ
PMID:33800465	(2021) Insulin Resistance across the Spectrum of Nonalcoholic Fatty Liver Disease.	4	38	1.95	0.0138	9606.ENSP00000300055,9606.ENSP00000335074,9606.ENSP00000377532,9606.ENSP00000389814	PLIN1,GHRL,PC,ADIPOQ
PMID:30833219	(2019) Brown fat organogenesis and maintenance requires AKT1 and AKT2.	4	38	1.95	0.0138	9606.ENSP00000300055,9606.ENSP00000304592,9606.ENSP00000361021,9606.ENSP00000389814	PLIN1,FASN,PTEN,ADIPOQ
PMID:30889804	(2019) Effects of Magnesium Deficiency on Mechanisms of Insulin Resistance in Type 2 Diabetes: Focusing on the Processes of Insulin Secretion and Signaling.	4	38	1.95	0.0138	9606.ENSP00000335074,9606.ENSP00000344220,9606.ENSP00000377532,9606.ENSP00000389814	GHRL,PDPK1,PC,ADIPOQ
PMID:29212306	(2018) Oncogene-Driven Metabolic Alterations in Cancer.	4	39	1.94	0.0138	9606.ENSP00000215832,9606.ENSP00000324856,9606.ENSP00000361021,9606.ENSP00000377532	MAPK1,STK11,PTEN,PC
PMID:29261731	(2017) Time course of adiponectin and its relationship to psychological aspects in patients with anorexia nervosa during inpatient treatment.	3	7	2.56	0.0138	9606.ENSP00000335074,9606.ENSP00000389814,9606.ENSP00000436455	GHRL,ADIPOQ,NUCB2
PMID:23533011	(2013) Antipsychotic-induced metabolic and cardiovascular side effects in schizophrenia: a novel mechanistic hypothesis.	3	7	2.56	0.0138	9606.ENSP00000335074,9606.ENSP00000365777,9606.ENSP00000389814	GHRL,MTHFR,ADIPOQ
PMID:20222801	(2010) AMPK as a metabolic tumor suppressor: control of metabolism and cell growth.	4	39	1.94	0.0138	9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000361021,9606.ENSP00000389814	FASN,STK11,PTEN,ADIPOQ
PMID:34523036	(2022) Leptin as a key regulator of the adipose organ.	4	40	1.93	0.0142	9606.ENSP00000300055,9606.ENSP00000304592,9606.ENSP00000335074,9606.ENSP00000389814	PLIN1,FASN,GHRL,ADIPOQ
PMID:31959914	(2020) Inhibition of the mitochondrial citrate carrier, Slc25a1, reverts steatosis, glucose intolerance, and inflammation in preclinical models of NAFLDNASH.	4	40	1.93	0.0142	9606.ENSP00000304592,9606.ENSP00000335074,9606.ENSP00000354901,9606.ENSP00000389814	FASN,GHRL,CXCL9,ADIPOQ
PMID:33198317	(2020) Peroxisome Proliferator-Activated Receptors as Molecular Links between Caloric Restriction and Circadian Rhythm.	5	109	1.59	0.0142	9606.ENSP00000324856,9606.ENSP00000335074,9606.ENSP00000356729,9606.ENSP00000361021,9606.ENSP00000389814	STK11,GHRL,FMO3,PTEN,ADIPOQ
PMID:30853530	(2019) Critical role of AMPK in redox regulation under glucose starvation.	4	40	1.93	0.0142	9606.ENSP00000215832,9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000361021	MAPK1,FASN,STK11,PTEN
PMID:28465145	(2017) Energy sensing pathways: Bridging type 2 diabetes and colorectal cancer?	4	40	1.93	0.0142	9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000361021,9606.ENSP00000389814	FASN,STK11,PTEN,ADIPOQ
PMID:34862480	(2022) Targeting cancer metabolism in the era of precision oncology.	5	116	1.56	0.0154	9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000349860,9606.ENSP00000361021,9606.ENSP00000377532	FASN,STK11,GFPT1,PTEN,PC
PMID:33735111	(2021) Circulating perilipin 2 levels are associated with fat mass, inflammatory and metabolic markers and are higher in women than men.	3	8	2.5	0.0154	9606.ENSP00000300055,9606.ENSP00000335074,9606.ENSP00000389814	PLIN1,GHRL,ADIPOQ
PMID:33920670	(2021) Remodeling of Mitochondrial Plasticity: The Key Switch from NAFLDNASH to HCC.	5	113	1.58	0.0154	9606.ENSP00000300055,9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000361021,9606.ENSP00000389814	PLIN1,FASN,STK11,PTEN,ADIPOQ
PMID:34298805	(2021) Correlation of Body Mass Index with Oncologic Outcomes in Colorectal Cancer Patients: A Large Population-Based Study.	3	8	2.5	0.0154	9606.ENSP00000304592,9606.ENSP00000335074,9606.ENSP00000389814	FASN,GHRL,ADIPOQ
PMID:27806328	(2017) High NUCB2 expression level represents an independent negative prognostic factor in Chinese cohorts of non-metastatic clear cell renal cell carcinoma patients.	3	8	2.5	0.0154	9606.ENSP00000324856,9606.ENSP00000361021,9606.ENSP00000436455	STK11,PTEN,NUCB2
PMID:28274232	(2017) Perilipin polymorphisms are risk factors for the development of obesity in adolescents? A case-control study.	3	8	2.5	0.0154	9606.ENSP00000300055,9606.ENSP00000335074,9606.ENSP00000389814	PLIN1,GHRL,ADIPOQ
PMID:28726765	(2017) Oleic Acid Uptake Reveals the Rescued Enterocyte Phenotype of Colon Cancer Caco-2 by HT29-MTX Cells in Co-Culture Mode.	4	43	1.9	0.0154	9606.ENSP00000300055,9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000389814	PLIN1,FASN,STK11,ADIPOQ
PMID:21479224	(2011) Tuberous sclerosis complex-1 deficiency attenuates diet-induced hepatic lipid accumulation.	4	42	1.91	0.0154	9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000361021,9606.ENSP00000389814	FASN,STK11,PTEN,ADIPOQ
PMID:20808811	(2010) Lymphocytes accelerate epithelial tight junction assembly: role of AMP-activated protein kinase (AMPK).	3	8	2.5	0.0154	9606.ENSP00000324856,9606.ENSP00000335074,9606.ENSP00000389814	STK11,GHRL,ADIPOQ
PMID:34568017	(2021) Risk Factors and Prevention of Viral Hepatitis-Related Hepatocellular Carcinoma.	4	44	1.89	0.0161	9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000361021,9606.ENSP00000389814	FASN,STK11,PTEN,ADIPOQ
PMID:31262098	(2019) The Impact of the Adipose Organ Plasticity on Inflammation and Cancer Progression.	4	44	1.89	0.0161	9606.ENSP00000300055,9606.ENSP00000356729,9606.ENSP00000361021,9606.ENSP00000389814	PLIN1,FMO3,PTEN,ADIPOQ
PMID:30174391	(2018) Alterations of methionine metabolism in hepatocarcinogenesis: the emergent role of glycine N-methyltransferase in liver injury.	4	44	1.89	0.0161	9606.ENSP00000215832,9606.ENSP00000324856,9606.ENSP00000361021,9606.ENSP00000365777	MAPK1,STK11,PTEN,MTHFR
PMID:30263000	(2018) The PI3KAKT pathway in obesity and type 2 diabetes.	4	45	1.88	0.0168	9606.ENSP00000300055,9606.ENSP00000361021,9606.ENSP00000377532,9606.ENSP00000389814	PLIN1,PTEN,PC,ADIPOQ
PMID:35202251	(2022) The Role of Persistent Organic Pollutants in Obesity: A Review of Laboratory and Epidemiological Studies.	4	46	1.87	0.0173	9606.ENSP00000300055,9606.ENSP00000304592,9606.ENSP00000361021,9606.ENSP00000389814	PLIN1,FASN,PTEN,ADIPOQ
PMID:33429960	(2021) Insights into Urological Cancer.	3	9	2.45	0.0173	9606.ENSP00000324856,9606.ENSP00000354901,9606.ENSP00000361021	STK11,CXCL9,PTEN
PMID:34335679	(2021) Prognosis of Non-small-cell Lung Cancer Patients With Lipid Metabolism Pathway Alternations to Immunotherapy.	4	46	1.87	0.0173	9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000354901,9606.ENSP00000361021	FASN,STK11,CXCL9,PTEN
PMID:33335909	(2020) Exploring the Impact of Obesity on Skeletal Muscle Function in Older Age.	3	9	2.45	0.0173	9606.ENSP00000300055,9606.ENSP00000335074,9606.ENSP00000389814	PLIN1,GHRL,ADIPOQ
PMID:30759716	(2019) AMP-Activated Protein Kinase Signalling.	3	9	2.45	0.0173	9606.ENSP00000324856,9606.ENSP00000335074,9606.ENSP00000389814	STK11,GHRL,ADIPOQ
PMID:31331111	(2019) Dual Roles of the AMP-Activated Protein Kinase Pathway in Angiogenesis.	4	46	1.87	0.0173	9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000361021,9606.ENSP00000389814	FASN,STK11,PTEN,ADIPOQ
PMID:28436105	(2017) Exercise Decreases Marrow Adipose Tissue Through beta-Oxidation in Obese Running Mice.	3	9	2.45	0.0173	9606.ENSP00000300055,9606.ENSP00000304592,9606.ENSP00000389814	PLIN1,FASN,ADIPOQ
PMID:24127214	(2013) Nutrient-sensing pathways and metabolic regulation in stem cells.	4	46	1.87	0.0173	9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000361021,9606.ENSP00000389814	FASN,STK11,PTEN,ADIPOQ
PMID:35281350	(2022) Prognostic impact of body mass index (BMI) in HER2+ breast cancer treated with anti-HER2 therapies: from preclinical rationale to clinical implications.	4	47	1.86	0.0176	9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000361021,9606.ENSP00000389814	FASN,STK11,PTEN,ADIPOQ
PMID:29690861	(2018) Effect of early calf-hood nutrition on the transcriptomic profile of subcutaneous adipose tissue in Holstein-Friesian bulls.	4	47	1.86	0.0176	9606.ENSP00000300055,9606.ENSP00000304592,9606.ENSP00000377532,9606.ENSP00000389814	PLIN1,FASN,PC,ADIPOQ
PMID:28387334	(2017) Sequential Exposure to Obesogenic Factors in Females Rats: From Physiological Changes to Lipid Metabolism in Liver and Mesenteric Adipose Tissue.	3	10	2.41	0.0198	9606.ENSP00000335074,9606.ENSP00000377532,9606.ENSP00000389814	GHRL,PC,ADIPOQ
PMID:19629071	(2009) The LKB1-AMPK pathway: metabolism and growth control in tumour suppression.	4	49	1.84	0.0198	9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000361021,9606.ENSP00000389814	FASN,STK11,PTEN,ADIPOQ
PMID:32863845	(2020) Systemic vitamin intake impacting tissue proteomes.	5	130	1.51	0.0211	9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000365777,9606.ENSP00000377532,9606.ENSP00000389814	FASN,STK11,MTHFR,PC,ADIPOQ
PMID:32612456	(2020) Flaming the fight against cancer cells: the role of microRNA-93.	4	51	1.82	0.0225	9606.ENSP00000215832,9606.ENSP00000324856,9606.ENSP00000361021,9606.ENSP00000383199	MAPK1,STK11,PTEN,NEDD4L
PMID:23562839	(2013) The fat side of prostate cancer.	4	51	1.82	0.0225	9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000361021,9606.ENSP00000389814	FASN,STK11,PTEN,ADIPOQ
PMID:33979328	(2021) The molecular and metabolic program by which white adipocytes adapt to cool physiologic temperatures.	4	53	1.81	0.0237	9606.ENSP00000215832,9606.ENSP00000300055,9606.ENSP00000304592,9606.ENSP00000389814	MAPK1,PLIN1,FASN,ADIPOQ
PMID:34203309	(2021) Mitochondrial Lipid Homeostasis at the Crossroads of Liver and Heart Diseases.	4	54	1.8	0.0237	9606.ENSP00000300055,9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000389814	PLIN1,FASN,STK11,ADIPOQ
PMID:34232958	(2021) Single-cell RNAseq and longitudinal proteomic analysis of a novel semi-spontaneous urothelial cancer model reveals tumor cell heterogeneity and pretumoral urine protein alterations.	4	52	1.82	0.0237	9606.ENSP00000300055,9606.ENSP00000335074,9606.ENSP00000354901,9606.ENSP00000361021	PLIN1,GHRL,CXCL9,PTEN
PMID:34574358	(2021) Obesity and Thyroid Axis.	4	53	1.81	0.0237	9606.ENSP00000300055,9606.ENSP00000304592,9606.ENSP00000335074,9606.ENSP00000389814	PLIN1,FASN,GHRL,ADIPOQ
PMID:34578846	(2021) Concurrent Chemoradiotherapy Induces Body Composition Changes in Locally Advanced Head and Neck Squamous Cell Carcinoma: Comparison between Oral Cavity and Non-Oral Cavity Cancer.	3	11	2.37	0.0237	9606.ENSP00000300055,9606.ENSP00000335074,9606.ENSP00000389814	PLIN1,GHRL,ADIPOQ
PMID:32397158	(2020) The Role of Hyperglycemia in Endometrial Cancer Pathogenesis.	4	54	1.8	0.0237	9606.ENSP00000304592,9606.ENSP00000324856,9606.ENSP00000361021,9606.ENSP00000389814	FASN,STK11,PTEN,ADIPOQ
PMID:31189568	(2019) AMP-activated protein kinase complexes containing the beta2 regulatory subunit are up-regulated during and contribute to adipogenesis.	3	11	2.37	0.0237	9606.ENSP00000300055,9606.ENSP00000324856,9606.ENSP00000389814	PLIN1,STK11,ADIPOQ
PMID:30195387	(2018) Diazinon exposure activated transcriptional factors CCAAT-enhancer-binding proteins alpha (CEBPalpha) and peroxisome proliferator-activated receptor gamma (PPARgamma) and induced adipogenesis in 3T3-L1 preadipocytes.	3	11	2.37	0.0237	9606.ENSP00000300055,9606.ENSP00000304592,9606.ENSP00000389814	PLIN1,FASN,ADIPOQ
PMID:27856330	(2017) Metformin suppresses adipogenesis through both AMP-activated protein kinase (AMPK)-dependent and AMPK-independent mechanisms.	3	11	2.37	0.0237	9606.ENSP00000300055,9606.ENSP00000324856,9606.ENSP00000389814	PLIN1,STK11,ADIPOQ
PMID:28373964	(2017) Altered Mitochondrial Signalling and Metabolism in Cancer.	4	52	1.82	0.0237	9606.ENSP00000215832,9606.ENSP00000304592,9606.ENSP00000361021,9606.ENSP00000389814	MAPK1,FASN,PTEN,ADIPOQ
PMID:28540163	(2017) Dissecting the role of AMP-activated protein kinase in human diseases.	4	53	1.81	0.0237	9606.ENSP00000324856,9606.ENSP00000335074,9606.ENSP00000361021,9606.ENSP00000389814	STK11,GHRL,PTEN,ADIPOQ
PMID:27573812	(2016) Notch activation drives adipocyte dedifferentiation and tumorigenic transformation in mice.	4	52	1.82	0.0237	9606.ENSP00000300055,9606.ENSP00000304592,9606.ENSP00000361021,9606.ENSP00000389814	PLIN1,FASN,PTEN,ADIPOQ
PMID:26064979	(2015) Skewed Epigenetics: An Alternative Therapeutic Option for Diabetes Complications.	3	11	2.37	0.0237	9606.ENSP00000324856,9606.ENSP00000335074,9606.ENSP00000361021	STK11,GHRL,PTEN
PMID:22339657	(2012) Carbon source metabolism and its regulation in cancer cells.	4	53	1.81	0.0237	9606.ENSP00000215832,9606.ENSP00000304592,9606.ENSP00000361021,9606.ENSP00000389814	MAPK1,FASN,PTEN,ADIPOQ
PMID:21147121	(2011) Targeting AMPK for cardiac protection: opportunities and challenges.	3	11	2.37	0.0237	9606.ENSP00000324856,9606.ENSP00000335074,9606.ENSP00000389814	STK11,GHRL,ADIPOQ
PMID:34983945	(2022) Conventional type 1 dendritic cells protect against age-related adipose tissue dysfunction and obesity.	4	57	1.78	0.0249	9606.ENSP00000304592,9606.ENSP00000335074,9606.ENSP00000354901,9606.ENSP00000389814	FASN,GHRL,CXCL9,ADIPOQ
PMID:34199764	(2021) Minor Intron Splicing from Basic Science to Disease.	3	12	2.33	0.0249	9606.ENSP00000324856,9606.ENSP00000354901,9606.ENSP00000361021	STK11,CXCL9,PTEN
