#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:32687633	(2020) Zonal regulation of collagen-type proteins and posttranslational modifications in prostatic benign and cancer tissues by imaging mass spectrometry.	6	27	2.6	2.63e-08	9606.ENSP00000263556,9606.ENSP00000331902,9606.ENSP00000369889,9606.ENSP00000380901,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,COL4A5,COL2A1,COL8A2,P4HA2,P4HA3
PMID:23925319	(2013) Genetic and genomic perspective to understand the molecular pathogenesis of keratoconus.	4	26	2.44	0.00030	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,VSX1,SLC4A11,COL8A2
PMID:24782191	(2014) The role of transforming growth factor beta signaling in fibroblast-like synoviocytes from patients with oligoarticular juvenile idiopathic arthritis: dysregulation of transforming growth factor beta signaling, including overexpression of bone ...	4	29	2.39	0.00038	9606.ENSP00000263556,9606.ENSP00000369889,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,COL2A1,P4HA2,P4HA3
PMID:35791103	(2022) Update on the genetics of corneal endothelial dystrophies.	3	5	3.03	0.00044	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:32947393	(2021) A Retrospective Study of Corneal Endothelial Dystrophy in Dogs (1991-2014).	3	4	3.13	0.00044	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:33511031	(2021) Trans-4-hydroxy-L-proline production by the cyanobacterium Synechocystis sp. PCC 6803.	3	5	3.03	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:33692831	(2021) Systemic Multi-Omics Analysis Reveals Amplified P4HA1 Gene Associated With Prognostic and Hypoxic Regulation in Breast Cancer.	3	4	3.13	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:34009234	(2021) Collagen prolyl 4-hydroxylases modify tumor progression.	3	6	2.95	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:34169467	(2021) Clearing the Haze: Navigating Corneal Refractive Surgery in Patients with Posterior Polymorphous Corneal Dystrophy.	3	3	3.25	0.00044	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000380901	ZEB1,VSX1,COL8A2
PMID:34387118	(2021) Prognostic and diagnostic roles of prolyl 4-hydroxylase subunit alpha members in breast cancer.	3	5	3.03	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:35008515	(2021) The Regulation of Collagen Processing by miRNAs in Disease and Possible Implications for Bone Turnover.	4	44	2.21	0.00044	9606.ENSP00000263556,9606.ENSP00000354960,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,COLGALT2,P4HA2,P4HA3
PMID:32117162	(2020) Explorative Meta-Analysis of 377 Extant Fungal Genomes Predicted a Total Mycobiome Functionality of 42.4 Million KEGG Functions.	3	6	2.95	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:31238077	(2019) Corneal injury: Clinical and molecular aspects.	4	46	2.19	0.00044	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,VSX1,SLC4A11,COL8A2
PMID:30560230	(2018) Corneal endothelial cell dysfunction: etiologies and management.	3	6	2.95	0.00044	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:28559836	(2017) Unilateral Posterior Polymorphous Corneal Dystrophy Presented as Anisometropic Astigmatism: 3 Case Reports.	3	3	3.25	0.00044	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000380901	ZEB1,VSX1,COL8A2
PMID:28801647	(2017) Reconstruction of a Genome-scale Metabolic Network of Komagataeibacter nataicola RZS01 for Cellulose Production.	3	4	3.13	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:29196769	(2017) CTG18.1 Expansion in TCF4 Among African Americans With Fuchs Corneal Dystrophy.	3	3	3.25	0.00044	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:26918090	(2016) Draft genome sequence of Sphingomonas paucimobilis strain LCT-SP1 isolated from the Shenzhou X spacecraft of China.	3	4	3.13	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:27121161	(2016) Analysis of SLC4A11, ZEB1, LOXHD1, COL8A2 and TCF4 gene sequences in a multi-generational family with late-onset Fuchs corneal dystrophy.	3	5	3.03	0.00044	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:27350955	(2016) Genetics in Keratoconus: where are we?	4	33	2.33	0.00044	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,VSX1,SLC4A11,COL8A2
PMID:24953863	(2015) New strategy for expression of recombinant hydroxylated human collagen alpha1(III) chains in Pichia pastoris GS115.	3	5	3.03	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:26061314	(2015) Long-Term Observation of Coexistence of Posterior Polymorphous Corneal Dystrophy, Resultant High Myopia and Nonkeratoconic Developing Corneal Astigmatism: A Case Report of 7-Year Tracking in a Chinese Boy.	3	3	3.25	0.00044	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000380901	ZEB1,VSX1,COL8A2
PMID:26087656	(2015) Association of TCF4 polymorphisms and Fuchs endothelial dystrophy: a meta-analysis.	3	4	3.13	0.00044	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:26900604	(2015) Collagen I and the fibroblast: high protein expression requires a new paradigm of post-transcriptional, feedback regulation.	3	4	3.13	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:24351571	(2014) Congenital hereditary endothelial dystrophy caused by SLC4A11 mutations progresses to Harboyan syndrome.	3	4	3.13	0.00044	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:24348007	(2013) Genetic screen of African Americans with Fuchs endothelial corneal dystrophy.	3	5	3.03	0.00044	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:22045388	(2012) A multicenter study to map genes for Fuchs endothelial corneal dystrophy: baseline characteristics and heritability.	3	4	3.13	0.00044	9606.ENSP00000354487,9606.ENSP00000369399,9606.ENSP00000380901	ZEB1,SLC4A11,COL8A2
PMID:23049806	(2012) High prevalence of posterior polymorphous corneal dystrophy in the Czech Republic; linkage disequilibrium mapping and dating an ancestral mutation.	3	4	3.13	0.00044	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000380901	ZEB1,VSX1,COL8A2
PMID:21604758	(2011) New strategy for expression of recombinant hydroxylated human-derived gelatin in Pichia pastoris KM71.	3	5	3.03	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:20214825	(2010) The changes in various hydroxyproline fractions in aortic tissue of rabbits are closely related to the progression of atherosclerosis.	3	4	3.13	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:20555395	(2010) Endoplasmic reticulum stress inhibits collagen synthesis independent of collagen-modifying enzymes in different chondrocyte populations and dermal fibroblasts.	3	5	3.03	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:20567203	(2010) Unusual presentation of presumed posterior polymorphous dystrophy associated with iris heterochromia, band keratopathy, and keratoconus.	3	3	3.25	0.00044	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000380901	ZEB1,VSX1,COL8A2
PMID:19111518	(2009) Direct and continuous assay for prolyl 4-hydroxylase.	3	4	3.13	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:18702512	(2008) Conformational preferences of substrates for human prolyl 4-hydroxylase.	3	6	2.95	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:18922146	(2008) Congenital hereditary endothelial dystrophy with progressive sensorineural deafness (Harboyan syndrome).	3	3	3.25	0.00044	9606.ENSP00000365899,9606.ENSP00000369399,9606.ENSP00000380901	VSX1,SLC4A11,COL8A2
PMID:17437275	(2007) Novel mutations in the ZEB1 gene identified in Czech and British patients with posterior polymorphous corneal dystrophy.	3	3	3.25	0.00044	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000380901	ZEB1,VSX1,COL8A2
PMID:16877351	(2006) Regulation of type II collagen synthesis during osteoarthritis by prolyl-4-hydroxylases: possible influence of low oxygen levels.	3	6	2.95	0.00044	9606.ENSP00000263556,9606.ENSP00000369889,9606.ENSP00000384999	P4HA1,COL2A1,P4HA2
PMID:16252232	(2005) Mutations in TCF8 cause posterior polymorphous corneal dystrophy and ectopic expression of COL4A3 by corneal endothelial cells.	3	4	3.13	0.00044	9606.ENSP00000354487,9606.ENSP00000365899,9606.ENSP00000380901	ZEB1,VSX1,COL8A2
PMID:10550623	(1999) Changes in onion root development induced by the inhibition of peptidyl-prolyl hydroxylase and influence of the ascorbate system on cell division and elongation	3	4	3.13	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:9889187	(1999) Identification of a novel proline-rich peptide-binding domain in prolyl 4-hydroxylase.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:9497309	(1998) The novel type II prolyl 4-hydroxylase is the main enzyme form in chondrocytes and capillary endothelial cells, whereas the type I enzyme predominates in most cells.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:9655244	(1998) Production of recombinant hydroxylated human type III collagen fragment in Saccharomyces cerevisiae.	3	5	3.03	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:9135134	(1997) Characterization of the iron- and 2-oxoglutarate-binding sites of human prolyl 4-hydroxylase.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:9211872	(1997) Cloning of the human prolyl 4-hydroxylase alpha subunit isoform alpha(II) and characterization of the type II enzyme tetramer. The alpha(I) and alpha(II) subunits do not form a mixed alpha(I)alpha(II)beta2 tetramer.	3	4	3.13	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:8615837	(1996) Co-expression of the alpha subunit of human prolyl 4-hydroxylase with BiP polypeptide in insect cells leads to the formation of soluble and insoluble complexes. Soluble alpha-subunit-BiP complexes have no prolyl 4-hydroxylase activity.	3	4	3.13	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:8687406	(1996) ERp60 does not substitute for protein disulphide isomerase as the beta-subunit of prolyl 4-hydroxylase.	3	4	3.13	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:7730375	(1995) Site-directed mutagenesis of the alpha subunit of human prolyl 4-hydroxylase. Identification of three histidine residues critical for catalytic activity.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:7753822	(1995) Cloning, baculovirus expression, and characterization of a second mouse prolyl 4-hydroxylase alpha-subunit isoform: formation of an alpha 2 beta 2 tetramer with the protein disulfide-isomerasebeta subunit.	3	4	3.13	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:7929409	(1994) Cloning, baculovirus expression, and characterization of the alpha subunit of prolyl 4-hydroxylase from the nematode Caenorhabditis elegans. This alpha subunit forms an active alpha beta dimer with the human protein disulfide isomerasebeta ...	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:8254616	(1993) Novel inhibitors of prolyl 4-hydroxylase. 5. The intriguing structure-activity relationships seen with 2,2-bipyridine and its 5,5-dicarboxylic acid derivatives.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:1312599	(1992) Novel inhibitors of prolyl 4-hydroxylase. 2. 5-Amide substituted pyridine-2-carboxylic acids.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:1321909	(1992) Novel inhibitors of prolyl 4-hydroxylase. 3. Inhibition by the substrate analogue N-oxaloglycine and its derivatives.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:1323838	(1992) Characterization of the human prolyl 4-hydroxylase tetramer and its multifunctional protein disulfide-isomerase subunit synthesized in a baculovirus expression system.	3	4	3.13	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:2158248	(1990) Assay for 2-oxoglutarate decarboxylating enzymes based on the determination of [1-14C]succinate: application to prolyl 4-hydroxylase.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:2537773	(1989) Protein hydroxylation: prolyl 4-hydroxylase, an enzyme with four cosubstrates and a multifunctional subunit.	3	5	3.03	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:2542248	(1989) Inhibition of prolyl hydroxylase by poly(ADP-ribose) and phosphoribosyl-AMP. Possible role of ADP-ribosylation in intracellular prolyl hydroxylase regulation.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:2542542	(1989) DNA synthesis in prolyl 4-hydroxylase positive fibroblasts in situ in synovial tissue. An autoradiography-immunoperoxidase double labeling study.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:2543975	(1989) Molecular cloning of the alpha-subunit of human prolyl 4-hydroxylase: the complete cDNA-derived amino acid sequence and evidence for alternative splicing of RNA transcripts.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:2549962	(1989) Inhibition of collagen hydroxylation by 2,7,8-trihydroxyanthraquinone in embryonic-chick tendon cells.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:2552442	(1989) Prolyl 4-hydroxylase: molecular cloning and the primary structure of the alpha subunit from chicken embryo.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:2553764	(1989) Synthesis of prolyl 4-hydroxylase by cultured chicken corneal cells.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:2851411	(1988) Isolation of cDNA clones and genomic DNA clones of beta-subunit of chicken prolyl 4-hydroxylase.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:2852147	(1988) Structure of the gene encoding the beta-subunit of chicken prolyl 4-hydroxylase.	3	5	3.03	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:24225869	(1987) Elicitor induction of the synthesis of a novel lectin-like arabinosylated hydroxyproline-rich glycoprotein in suspension cultures of Phaseolus vulgaris L.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:3663119	(1987) Gene expression of type I, III and IV collagens in hepatic fibrosis induced by dimethylnitrosamine in the rat.	3	4	3.13	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:3017922	(1986) Immunological properties of monoclonal antibodies to human and rat prolyl 4-hydroxylase.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:3028370	(1986) Inhibition of prolyl 4-hydroxylase by hydroxyanthraquinones.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:3028379	(1986) Assay of prolyl 4-hydroxylase by the chromatographic determination of [14C]succinic acid on ion-exchange minicolumns.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:6086331	(1984) Monoclonal antibodies to human prolyl 4-hydroxylase.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:6326839	(1984) Stoicheiometry and kinetics of the prolyl 4-hydroxylase partial reaction.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:6331520	(1984) Concomitant hydroxylation of proline and lysine residues in collagen using purified enzymes in vitro.	3	6	2.95	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:6191778	(1983) The association between prolyl hydroxylase metabolism and cell growth in cultured L-929 fibroblasts.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:6195141	(1983) Peplomycin sulfate and pulmonary fibrosis: hydroxyproline, uronic acid, proline hydroxylase and glucosamine 6-phosphate synthetase in lungs of hamsters treated with peplomycin.	3	5	3.03	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:6316881	(1983) The effect of streptozotocin-induced diabetes on prolyl hydroxylase activity in rat gingiva.	3	4	3.13	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:6318709	(1983) Prolyl-hydroxylase activity in odontoblasts from bovine incisor and premolar teeth.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:6285983	(1982) The influence of 2-oxoglutarate on the activity of prolyl 4-hydroxylase.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:6285984	(1982) Prolyl 4-hydroxylase activity in relation to the oxidation state of enzyme-bound iron. The role of ascorbate in peptidyl proline hydroxylation.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:6295488	(1982) Two Fe2+ atoms are present in activated prolyl 4-hydroxylase.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:6296823	(1982) Conformational implications of enzymatic proline hydroxylation in collagen.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:6260196	(1981) The function of ascorbate with respect to prolyl 4-hydroxylase activity.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:6265920	(1981) Regulation of collagen synthesis by ascorbic acid.	3	6	2.95	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:6269634	(1981) Characterization of activatable form of prolyl hydroxylase in L929 fibroblasts.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:6271217	(1981) Dissociation and reassociation of prolyl 4-hydroxylase subunits after cross-linking of monomers.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
PMID:6255999	(1980) Properties of prolyl 4-hydroxylase containing firmly-bound iron.	3	3	3.25	0.00044	9606.ENSP00000263556,9606.ENSP00000384999,9606.ENSP00000401749	P4HA1,P4HA2,P4HA3
