#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
WP2380	Brain-derived neurotrophic factor (BDNF) signaling pathway	6	143	1.66	2.05e-06	9606.ENSP00000215832,9606.ENSP00000344220,9606.ENSP00000346148,9606.ENSP00000358525,9606.ENSP00000362680,9606.ENSP00000365016	MAPK1,PDPK1,PRKAA1,NGF,SRC,IRS2
WP2018	RANKL/RANK signaling pathway	2	55	1.6	0.0176	9606.ENSP00000215832,9606.ENSP00000362680	MAPK1,SRC
WP2795	Cardiac hypertrophic response	2	54	1.6	0.0176	9606.ENSP00000215832,9606.ENSP00000344220	MAPK1,PDPK1
WP395	IL-4 signaling pathway	2	54	1.6	0.0176	9606.ENSP00000215832,9606.ENSP00000365016	MAPK1,IRS2
WP4205	MET in type 1 papillary renal cell carcinoma	2	58	1.57	0.0189	9606.ENSP00000215832,9606.ENSP00000362680	MAPK1,SRC
WP304	Kit receptor signaling pathway	2	59	1.57	0.0192	9606.ENSP00000215832,9606.ENSP00000362680	MAPK1,SRC
WP2059	Alzheimers disease and miRNA effects	3	258	1.1	0.0212	9606.ENSP00000215832,9606.ENSP00000365016,9606.ENSP00000440045	MAPK1,IRS2,ATP2A2
WP4155	Endometrial cancer	2	63	1.54	0.0212	9606.ENSP00000215832,9606.ENSP00000344220	MAPK1,PDPK1
WP5124	Alzheimers disease	3	255	1.11	0.0212	9606.ENSP00000215832,9606.ENSP00000365016,9606.ENSP00000440045	MAPK1,IRS2,ATP2A2
WP2374	Oncostatin M signaling pathway	2	65	1.52	0.0214	9606.ENSP00000215832,9606.ENSP00000362680	MAPK1,SRC
WP2324	AGE/RAGE pathway	2	66	1.52	0.0216	9606.ENSP00000215832,9606.ENSP00000362680	MAPK1,SRC
WP3680	Physico-chemical features and toxicity-associated pathways	2	66	1.52	0.0216	9606.ENSP00000215832,9606.ENSP00000362680	MAPK1,SRC
WP1403	AMP-activated protein kinase (AMPK) signaling	2	68	1.5	0.0221	9606.ENSP00000298552,9606.ENSP00000346148	TSC1,PRKAA1
WP4216	Chromosomal and microsatellite instability in colorectal cancer 	2	73	1.47	0.0249	9606.ENSP00000215832,9606.ENSP00000233146	MAPK1,MSH2
WP4538	Regulatory circuits of the STAT3 signaling pathway	2	78	1.45	0.0278	9606.ENSP00000215832,9606.ENSP00000362680	MAPK1,SRC
WP1544	MicroRNAs in cardiomyocyte hypertrophy	2	83	1.42	0.0308	9606.ENSP00000215832,9606.ENSP00000344220	MAPK1,PDPK1
WP4298	Acute viral myocarditis	2	86	1.4	0.0324	9606.ENSP00000215832,9606.ENSP00000362680	MAPK1,SRC
WP69	T-cell receptor (TCR) signaling pathway	2	89	1.39	0.0340	9606.ENSP00000215832,9606.ENSP00000344220	MAPK1,PDPK1
WP23	B cell receptor signaling pathway	2	97	1.35	0.0395	9606.ENSP00000215832,9606.ENSP00000344220	MAPK1,PDPK1
WP615	Senescence and autophagy in cancer	2	105	1.32	0.0453	9606.ENSP00000215832,9606.ENSP00000362680	MAPK1,SRC
WP4321	Thermogenesis	2	108	1.3	0.0470	9606.ENSP00000298552,9606.ENSP00000346148	TSC1,PRKAA1
