#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:22174787	(2011) Genome characterization of the oleaginous fungus Mortierella alpina.	10	87	2.31	2.45e-16	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000342056,9606.ENSP00000358719,9606.ENSP00000377532,9606.ENSP00000438144	PCK2,ACLY,PCK1,PKM,MDH2,PKLR,CS,ME1,PC,MDH1
PMID:7354397	(1980) Gluconeogenesis in meal-fed, vitamin B-6-deficient rats.	5	5	3.25	1.63e-09	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000377532	PCK2,PCK1,PKM,PKLR,PC
PMID:19396987	(1974) Transfer of reducing equivalents across the mitochondrial membrane. I. Hydrogen transfer mechanisms involved in the reduction of pyruvate to lactate in isolated liver cells.	5	5	3.25	1.63e-09	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000377532	PCK2,PCK1,PKM,PKLR,PC
PMID:34079545	(2021) Immunometabolism at the Nexus of Cancer Therapeutic Efficacy and Resistance.	7	78	2.2	2.12e-09	9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000342056,9606.ENSP00000377532,9606.ENSP00000438144	ACLY,PCK1,PKM,MDH2,CS,PC,MDH1
PMID:31027329	(2019) The Fate of Glutamine in Human Metabolism. The Interplay with Glucose in Proliferating Cells.	6	28	2.58	2.13e-09	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000327070,9606.ENSP00000377532,9606.ENSP00000438144	PCK2,ACLY,PCK1,MDH2,PC,MDH1
PMID:26059272	(2015) Identification of a critical determinant that enables efficient fatty acid synthesis in oleaginous fungi.	6	28	2.58	2.13e-09	9606.ENSP00000253792,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000358719,9606.ENSP00000438144	ACLY,PKM,MDH2,PKLR,ME1,MDH1
PMID:2059151	(1991) Key enzymes of gluconeogenesis are dose-dependently reduced in 2,3,7,8-tetrachlorodibenzo-p-dioxin (TCDD)-treated rats.	5	6	3.17	2.13e-09	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000377532	PCK2,PCK1,PKM,PKLR,PC
PMID:24301024	(1981) The compartmentation of carboxylating and decarboxylating enzymes in guard cell protoplasts.	5	6	3.17	2.13e-09	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000327070,9606.ENSP00000358719,9606.ENSP00000438144	PCK2,PCK1,MDH2,ME1,MDH1
PMID:34687175	(2022) Impact of Nuclear Factor Erythroid 2-Related Factor 2 in Hepatocellular Carcinoma: Cancer Metabolism and Immune Status.	7	86	2.16	2.90e-09	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000342056,9606.ENSP00000438144	PCK2,ACLY,PCK1,MDH2,PKLR,CS,MDH1
PMID:32859697	(2020) The SDHB Arg230His mutation causing familial paraganglioma alters glycolysis in a new Caenorhabditis elegans model.	6	31	2.54	2.90e-09	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000327070,9606.ENSP00000342056,9606.ENSP00000377532,9606.ENSP00000438144	PCK2,PCK1,MDH2,CS,PC,MDH1
PMID:35028610	(2021) Metabolic adaptations in cancers expressing isocitrate dehydrogenase mutations.	6	32	2.52	3.12e-09	9606.ENSP00000253792,9606.ENSP00000327070,9606.ENSP00000342056,9606.ENSP00000358719,9606.ENSP00000377532,9606.ENSP00000438144	ACLY,MDH2,CS,ME1,PC,MDH1
PMID:34079518	(2021) Dimming the Powerhouse: Mitochondrial Dysfunction in the Liver and Skeletal Muscle of Intrauterine Growth Restricted Fetuses.	6	34	2.5	4.14e-09	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000327070,9606.ENSP00000342056,9606.ENSP00000377532,9606.ENSP00000438144	PCK2,PCK1,MDH2,CS,PC,MDH1
PMID:27120592	(2016) The Unusual Acid-Accumulating Behavior during Ripening of Cherimoya (Annona cherimola Mill.) is Linked to Changes in Transcription and Enzyme Activity Related to Citric and Malic Acid Metabolism.	5	8	3.05	4.35e-09	9606.ENSP00000253792,9606.ENSP00000327070,9606.ENSP00000342056,9606.ENSP00000358719,9606.ENSP00000438144	ACLY,MDH2,CS,ME1,MDH1
PMID:32814773	(2020) Systems level profiling of arginine starvation reveals MYC and ERK adaptive metabolic reprogramming.	6	35	2.48	4.44e-09	9606.ENSP00000253792,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000342056,9606.ENSP00000377532,9606.ENSP00000438144	ACLY,PKM,MDH2,CS,PC,MDH1
PMID:31207935	(2019) Euglena Central Metabolic Pathways and Their Subcellular Locations.	6	35	2.48	4.44e-09	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000358719,9606.ENSP00000377532	PCK2,PCK1,PKM,PKLR,ME1,PC
PMID:28378759	(2017) Quantitative proteomics by SWATH-MS reveals sophisticated metabolic reprogramming in hepatocellular carcinoma tissues.	6	35	2.48	4.44e-09	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000342056,9606.ENSP00000377532	PCK2,ACLY,PCK1,PKM,CS,PC
PMID:21240476	(2011) Rat neonatal beta cells lack the specialised metabolic phenotype of mature beta cells.	6	35	2.48	4.44e-09	9606.ENSP00000253792,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000358719,9606.ENSP00000438144	ACLY,PKM,MDH2,PKLR,ME1,MDH1
PMID:28467784	(2017) In silico gene expression analysis reveals glycolysis and acetate anaplerosis in IDH1 wild-type glioma and lactate and glutamate anaplerosis in IDH1-mutated glioma.	6	37	2.46	5.16e-09	9606.ENSP00000216780,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000342056,9606.ENSP00000377532	PCK2,PKM,MDH2,PKLR,CS,PC
PMID:1122926	(1975) Insignificance of gluconeogenesis in human blood platelets.	5	9	2.99	5.37e-09	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000377532	PCK2,PCK1,PKM,PKLR,PC
PMID:28103301	(2017) Differences in Beef Quality between Angus (Bos taurus taurus) and Nellore (Bos taurus indicus) Cattle through a Proteomic and Phosphoproteomic Approach.	6	40	2.43	7.40e-09	9606.ENSP00000253792,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000377532,9606.ENSP00000438144	ACLY,PKM,MDH2,PKLR,PC,MDH1
PMID:26481663	(2015) PEPCK Coordinates the Regulation of Central Carbon Metabolism to Promote Cancer Cell Growth.	5	11	2.91	1.10e-08	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000342056,9606.ENSP00000377532	PCK2,ACLY,PCK1,CS,PC
PMID:23585853	(2013) Transcriptomic study reveals widespread spliced leader trans-splicing, short 5-UTRs and potential complex carbon fixation mechanisms in the euglenoid Alga Eutreptiella sp.	5	11	2.91	1.10e-08	9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000358719,9606.ENSP00000438144	PKM,MDH2,PKLR,ME1,MDH1
PMID:16968553	(2006) Leishmania isoenzyme polymorphisms in Ecuador: relationships with geographic distribution and clinical presentation.	5	11	2.91	1.10e-08	9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000358719,9606.ENSP00000438144	PKM,MDH2,PKLR,ME1,MDH1
PMID:33147484	(2020) Pyruvate Kinase Controls Signal Strength in the Insulin Secretory Pathway.	5	12	2.87	1.41e-08	9606.ENSP00000216780,9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000342056,9606.ENSP00000377532	PCK2,PKM,PKLR,CS,PC
PMID:33335484	(2020) From Glucose to Lactate and Transiting Intermediates Through Mitochondria, Bypassing Pyruvate Kinase: Considerations for Cells Exhibiting Dimeric PKM2 or Otherwise Inhibited Kinase Activity.	6	46	2.37	1.41e-08	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000377532	PCK2,ACLY,PCK1,PKM,MDH2,PC
PMID:19055775	(2008) Comparative genomic analysis of carbon and nitrogen assimilation mechanisms in three indigenous bioleaching bacteria: predictions and validations.	5	12	2.87	1.41e-08	9606.ENSP00000253792,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000438144	ACLY,PKM,MDH2,PKLR,MDH1
PMID:33987181	(2021) Interplay Between Glucose Metabolism and Chromatin Modifications in Cancer.	7	120	2.02	1.44e-08	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000342056,9606.ENSP00000377532	PCK2,ACLY,PCK1,PKM,PKLR,CS,PC
PMID:26064985	(2015) Species-Related Differences in the Proteome of Rat and Human Pancreatic Beta Cells.	6	51	2.32	2.26e-08	9606.ENSP00000253792,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000342056,9606.ENSP00000377532,9606.ENSP00000438144	ACLY,PKM,MDH2,CS,PC,MDH1
PMID:30654535	(2019) Organ-Specific Analysis of Morus alba Using a Gel-FreeLabel-Free Proteomic Technique.	5	15	2.77	3.09e-08	9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000358719,9606.ENSP00000438144	PKM,MDH2,PKLR,ME1,MDH1
PMID:19389950	(2009) Variation in hepatic regulation of metabolism during the dry period and in early lactation in dairy cows.	5	15	2.77	3.09e-08	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000342056,9606.ENSP00000377532	PCK2,ACLY,PCK1,CS,PC
PMID:24177027	(2014) The mitochondrial isoform of phosphoenolpyruvate carboxykinase (PEPCK-M) and glucose homeostasis: has it been overlooked?	5	16	2.74	3.85e-08	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000342056,9606.ENSP00000377532,9606.ENSP00000438144	PCK2,ACLY,CS,PC,MDH1
PMID:30622648	(2019) Comprehensive evaluation of fuel properties and complex regulation of intracellular transporters for high oil production in developing seeds of Prunus sibirica for woody biodiesel.	5	17	2.72	4.87e-08	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000327070,9606.ENSP00000342056,9606.ENSP00000438144	PCK2,PCK1,MDH2,CS,MDH1
PMID:31841108	(2019) PCK1 and DHODH drive colorectal cancer liver metastatic colonization and hypoxic growth by promoting nucleotide synthesis.	5	17	2.72	4.87e-08	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000377532	PCK2,PCK1,PKM,PKLR,PC
PMID:4353083	(1973) Induction and suppression of the key enzymes of glycolysis and gluconeogenesis in isolated perfused rat liver in response to glucose, fructose and lactate.	5	17	2.72	4.87e-08	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000377532	PCK2,PCK1,PKM,PKLR,PC
PMID:30967137	(2019) The CIMP-high phenotype is associated with energy metabolism alterations in colon adenocarcinoma.	6	61	2.24	5.23e-08	9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000438144	ACLY,PCK1,PKM,MDH2,PKLR,MDH1
PMID:31772286	(2019) First nitrosoproteomic profiling deciphers the cysteine S-nitrosylation involved in multiple metabolic pathways of tea leaves.	5	18	2.69	5.68e-08	9606.ENSP00000253792,9606.ENSP00000327070,9606.ENSP00000342056,9606.ENSP00000358719,9606.ENSP00000438144	ACLY,MDH2,CS,ME1,MDH1
PMID:27200014	(2016) Flux Balance Analysis of Plant Metabolism: The Effect of Biomass Composition and Model Structure on Model Predictions.	5	18	2.69	5.68e-08	9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000342056,9606.ENSP00000438144	PKM,MDH2,PKLR,CS,MDH1
PMID:35008954	(2022) AGC1 Deficiency: Pathology and Molecular and Cellular Mechanisms of the Disease.	5	20	2.65	8.58e-08	9606.ENSP00000253792,9606.ENSP00000327070,9606.ENSP00000342056,9606.ENSP00000377532,9606.ENSP00000438144	ACLY,MDH2,CS,PC,MDH1
PMID:29619087	(2018) Transcriptional and physiological data reveal the dehydration memory behavior in switchgrass (Panicum virgatum L.).	5	20	2.65	8.58e-08	9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000342056,9606.ENSP00000438144	PKM,MDH2,PKLR,CS,MDH1
PMID:29137367	(2017) Glycolytic reprogramming through PCK2 regulates tumor initiation of prostate cancer cells.	5	20	2.65	8.58e-08	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000377532	PCK2,ACLY,PCK1,PKM,PC
PMID:33147485	(2020) Multi-Tissue Acceleration of the Mitochondrial Phosphoenolpyruvate Cycle Improves Whole-Body Metabolic Health.	5	21	2.63	1.00e-07	9606.ENSP00000216780,9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000342056,9606.ENSP00000377532	PCK2,PKM,PKLR,CS,PC
PMID:30926897	(2019) Increased flux in acetyl-CoA synthetic pathway and TCA cycle of Kluyveromyces marxianus under respiratory conditions.	5	21	2.63	1.00e-07	9606.ENSP00000319814,9606.ENSP00000327070,9606.ENSP00000342056,9606.ENSP00000377532,9606.ENSP00000438144	PCK1,MDH2,CS,PC,MDH1
PMID:33275651	(2020) Mitochondria as a Platform for Dictating the Cell Fate of Cultured Human Corneal Endothelial Cells.	5	22	2.61	1.18e-07	9606.ENSP00000253792,9606.ENSP00000327070,9606.ENSP00000342056,9606.ENSP00000377532,9606.ENSP00000438144	ACLY,MDH2,CS,PC,MDH1
PMID:31491968	(2019) In Utero Dexamethasone Exposure Exacerbates Hepatic Steatosis in Rats That Consume Fructose During Adulthood.	5	23	2.59	1.41e-07	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000342056	PCK2,PCK1,PKM,PKLR,CS
PMID:26212173	(2015) Proteomic analysis reveals that COP9 signalosome complex subunit 7A (CSN7A) is essential for the phase transition of migratory locust.	5	23	2.59	1.41e-07	9606.ENSP00000253792,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000438144	ACLY,PKM,MDH2,PKLR,MDH1
PMID:34827664	(2021) An Asp to Strike Out Cancer? Therapeutic Possibilities Arising from Aspartates Emerging Roles in Cell Proliferation and Survival.	5	24	2.57	1.64e-07	9606.ENSP00000253792,9606.ENSP00000327070,9606.ENSP00000358719,9606.ENSP00000377532,9606.ENSP00000438144	ACLY,MDH2,ME1,PC,MDH1
PMID:31208190	(2019) Dudleya brittonii extract promotes survival rate and M2-like metabolic change in porcine 3D431 alveolar macrophages.	5	24	2.57	1.64e-07	9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000342056,9606.ENSP00000438144	PKM,MDH2,PKLR,CS,MDH1
PMID:24271620	(1982) Activity of enzymes of carbon metabolism during the induction of Crassulacean acid metabolism in Mesembryanthemum crystallinum L.	5	24	2.57	1.64e-07	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000327070,9606.ENSP00000358719,9606.ENSP00000438144	PCK2,PCK1,MDH2,ME1,MDH1
PMID:23418592	(2013) Transcriptome and proteome exploration to provide a resource for the study of Agrocybe aegerita.	5	25	2.55	1.87e-07	9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000342056,9606.ENSP00000438144	PKM,MDH2,PKLR,CS,MDH1
PMID:21241522	(2011) The Zea mays mutants opaque-2 and opaque-7 disclose extensive changes in endosperm metabolism as revealed by protein, amino acid, and transcriptome-wide analyses.	5	26	2.53	2.19e-07	9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000342056,9606.ENSP00000438144	PKM,MDH2,PKLR,CS,MDH1
PMID:26918450	(2016) A nuclear-directed human pancreatic ribonuclease (PE5) targets the metabolic phenotype of cancer cells.	6	83	2.11	2.24e-07	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000327070,9606.ENSP00000358719,9606.ENSP00000377532,9606.ENSP00000438144	PCK2,ACLY,MDH2,ME1,PC,MDH1
PMID:35243212	(2022) Multi-omics-based label-free metabolic flux inference reveals obesity-associated dysregulatory mechanisms in liver glucose metabolism.	5	27	2.52	2.46e-07	9606.ENSP00000319814,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000377532,9606.ENSP00000438144	PCK1,MDH2,PKLR,PC,MDH1
PMID:25816970	(2015) Differential kinetics at PKPEPCK branch point in the cestode, Raillietina echinobothrida.	4	4	3.25	2.46e-07	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000339933	PCK2,PCK1,PKM,PKLR
PMID:164465	(1975) The reversibility of skeletal muscle pyruvate kinase and an assessment of its capacity to support glyconeogenesis.	4	4	3.25	2.46e-07	9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000438144	PKM,MDH2,PKLR,MDH1
PMID:4345357	(1972) Effects of starvation on intermediary metabolism in the lactating cow. A comparison with metabolic changes occurring during bovine ketosis.	4	4	3.25	2.46e-07	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000339933	PCK2,PCK1,PKM,PKLR
PMID:5073733	(1972) Lipid metabolism by rat lung in vitro. Utilization of citrate by normal and starved rats.	4	4	3.25	2.46e-07	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000327070,9606.ENSP00000438144	PCK2,PCK1,MDH2,MDH1
PMID:28514599	(2017) A bioenergetics systems evaluation of ketogenic diet liver effects.	5	29	2.49	3.21e-07	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000327070,9606.ENSP00000342056,9606.ENSP00000438144	PCK2,PCK1,MDH2,CS,MDH1
PMID:23051583	(2012) Spatial distribution of cellular function: the partitioning of proteins between mitochondria and the nucleus in MCF7 breast cancer cells.	6	92	2.06	3.62e-07	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000377532,9606.ENSP00000438144	PCK2,PCK1,PKM,MDH2,PC,MDH1
PMID:31550253	(2019) A mitochondria-targeted fatty acid analogue influences hepatic glucose metabolism and reduces the plasma insulinglucose ratio in male Wistar rats.	5	30	2.47	3.64e-07	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000339933,9606.ENSP00000358719,9606.ENSP00000377532	PCK2,PCK1,PKLR,ME1,PC
PMID:24324823	(2013) Sustained photosynthetic performance of Coffea spp. under long-term enhanced [CO2].	4	5	3.15	3.92e-07	9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000438144	PKM,MDH2,PKLR,MDH1
PMID:10461937	(1999) Citric-acid cycle key enzyme activities during in vitro growth and metacyclogenesis of Leishmania infantum promastigotes.	4	5	3.15	3.92e-07	9606.ENSP00000327070,9606.ENSP00000342056,9606.ENSP00000358719,9606.ENSP00000438144	MDH2,CS,ME1,MDH1
PMID:7385377	(1980) [Age peculiarities of the citrate-pyruvate system functional in rat liver].	4	5	3.15	3.92e-07	9606.ENSP00000253792,9606.ENSP00000327070,9606.ENSP00000358719,9606.ENSP00000438144	ACLY,MDH2,ME1,MDH1
PMID:35006438	(2021) Cancer metabolism and intervention therapy.	6	95	2.05	4.06e-07	9606.ENSP00000253792,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000342056,9606.ENSP00000438144	ACLY,PKM,MDH2,PKLR,CS,MDH1
PMID:35328345	(2022) REV-ERBalpha Agonist SR9009 Promotes a Negative Energy Balance in Goldfish.	5	33	2.43	5.24e-07	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000339933	PCK2,ACLY,PCK1,PKM,PKLR
PMID:22412968	(2012) Differential expression of metabolic genes in tumor and stromal components of primary and metastatic loci in pancreatic adenocarcinoma.	5	33	2.43	5.24e-07	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000438144	PCK2,PCK1,PKM,MDH2,MDH1
PMID:33946927	(2021) Mechanisms of Metabolic Reprogramming in Cancer Cells Supporting Enhanced Growth and Proliferation.	6	104	2.01	6.58e-07	9606.ENSP00000216780,9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000342056,9606.ENSP00000377532	PCK2,ACLY,PCK1,PKM,CS,PC
PMID:9183713	(1997) Activities of enzymes of carbohydrate and energy metabolism of the spores of the microsporidian, Nosema grylli.	5	35	2.41	6.60e-07	9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000358719,9606.ENSP00000438144	PKM,MDH2,PKLR,ME1,MDH1
PMID:33747521	(2021) Metabolic alterations and vulnerabilities in hepatocellular carcinoma.	6	106	2.0	7.16e-07	9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000342056,9606.ENSP00000377532	ACLY,PCK1,PKM,PKLR,CS,PC
PMID:32042077	(2020) Modification of the head proteome of nurse honeybees (Apis mellifera) exposed to field-relevant doses of pesticides.	5	36	2.39	7.33e-07	9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933,9606.ENSP00000358719,9606.ENSP00000438144	PKM,MDH2,PKLR,ME1,MDH1
PMID:28133633	(2016) Mice with low levels of Shc proteins display reduced glycolytic and increased gluconeogenic activities in liver.	5	36	2.39	7.33e-07	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000377532	PCK2,PCK1,PKM,PKLR,PC
PMID:22826120	(2012) Mechanistic insights into the regulation of metabolic enzymes by acetylation.	5	36	2.39	7.33e-07	9606.ENSP00000253792,9606.ENSP00000319814,9606.ENSP00000320171,9606.ENSP00000327070,9606.ENSP00000339933	ACLY,PCK1,PKM,MDH2,PKLR
PMID:30150719	(2018) Metformin reduces liver glucose production by inhibition of fructose-1-6-bisphosphatase.	5	37	2.38	8.01e-07	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000339933,9606.ENSP00000342056,9606.ENSP00000377532	PCK2,PCK1,PKLR,CS,PC
PMID:29410419	(2018) Methane utilization in Methylomicrobium alcaliphilum 20Z(R): a systems approach.	4	7	3.01	8.65e-07	9606.ENSP00000320171,9606.ENSP00000339933,9606.ENSP00000358719,9606.ENSP00000377532	PKM,PKLR,ME1,PC
PMID:3924030	(1985) [14C]bicarbonate fixation into glucose and other metabolites in the liver of the starved rat under halothane anaesthesia. Metabolic channelling of mitochondrial oxaloacetate.	4	7	3.01	8.65e-07	9606.ENSP00000216780,9606.ENSP00000319814,9606.ENSP00000358719,9606.ENSP00000377532	PCK2,PCK1,ME1,PC
