#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:27473374	(2016) Proteinase-activated receptor 2 (PAR2) in hepatic stellate cells - evidence for a role in hepatocellular carcinoma growth in vivo.	7	88	1.91	9.80e-06	9606.ENSP00000219070,9606.ENSP00000229239,9606.ENSP00000314897,9606.ENSP00000336762,9606.ENSP00000355361,9606.ENSP00000360997,9606.ENSP00000451040	MMP2,GAPDH,ANGPT2,ANG,CD47,ADAMTS13,PGF
PMID:32600379	(2020) SRSF10 inhibits biogenesis of circ-ATXN1 to regulate glioma angiogenesis via miR-526b-3pMMP2 pathway.	4	24	2.23	0.0034	9606.ENSP00000219070,9606.ENSP00000229239,9606.ENSP00000314897,9606.ENSP00000331327	MMP2,GAPDH,ANGPT2,WT1
PMID:32908641	(2020) MicroRNA-874-3p Aggravates Doxorubicin-Induced Renal Podocyte Injury via Targeting Methionine Sulfoxide Reductase B3.	4	25	2.22	0.0034	9606.ENSP00000212015,9606.ENSP00000229239,9606.ENSP00000319788,9606.ENSP00000331327	SIRT1,GAPDH,NQO1,WT1
PMID:32987187	(2020) P2Y2R contributes to the development of diabetic nephropathy by inhibiting autophagy response.	4	33	2.1	0.0034	9606.ENSP00000212015,9606.ENSP00000229239,9606.ENSP00000304767,9606.ENSP00000331327	SIRT1,GAPDH,P2RY1,WT1
PMID:33457324	(2020) Psychological Stress and Cancer: New Evidence of An Increasingly Strong Link.	4	28	2.17	0.0034	9606.ENSP00000212015,9606.ENSP00000219070,9606.ENSP00000276571,9606.ENSP00000384092	SIRT1,MMP2,CRH,POMC
PMID:34447714	(2020) Psychological stress and cancer: new evidence of an increasingly strong link.	4	28	2.17	0.0034	9606.ENSP00000212015,9606.ENSP00000219070,9606.ENSP00000276571,9606.ENSP00000384092	SIRT1,MMP2,CRH,POMC
PMID:29424043	(2019) Sex differences in binge-like EtOH drinking, corticotropin-releasing hormone and corticosterone: effects of beta-endorphin.	3	3	3.01	0.0034	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	GAPDH,CRH,POMC
PMID:30597578	(2019) Hypermethylation of Proopiomelanocortin and Period 2 Genes in Blood Are Associated with Greater Subjective and Behavioral Motivation for Alcohol in Humans.	3	5	2.79	0.0034	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	GAPDH,CRH,POMC
PMID:30669338	(2019) The Role of Angiogenesis and Pro-Angiogenic Exosomes in Regenerative Dentistry.	5	80	1.81	0.0034	9606.ENSP00000219070,9606.ENSP00000314897,9606.ENSP00000336762,9606.ENSP00000355361,9606.ENSP00000451040	MMP2,ANGPT2,ANG,CD47,PGF
PMID:30684493	(2019) Enhanced TGF-beta Signaling Contributes to the Insulin-Induced Angiogenic Responses of Endothelial Cells.	4	34	2.08	0.0034	9606.ENSP00000219070,9606.ENSP00000229239,9606.ENSP00000314897,9606.ENSP00000451040	MMP2,GAPDH,ANGPT2,PGF
PMID:31016850	(2019) TSP-1 is downregulated and inversely correlates with miR-449c expression in Cushings disease.	4	20	2.31	0.0034	9606.ENSP00000219070,9606.ENSP00000229239,9606.ENSP00000355361,9606.ENSP00000384092	MMP2,GAPDH,CD47,POMC
PMID:31133019	(2019) Microfluidics for studying metastatic patterns of lung cancer.	5	55	1.97	0.0034	9606.ENSP00000219070,9606.ENSP00000314897,9606.ENSP00000336762,9606.ENSP00000355361,9606.ENSP00000451040	MMP2,ANGPT2,ANG,CD47,PGF
PMID:28789925	(2018) HIF-1alpha represses the expression of the angiogenesis inhibitor thrombospondin-2.	4	26	2.2	0.0034	9606.ENSP00000219070,9606.ENSP00000229239,9606.ENSP00000314897,9606.ENSP00000355361	MMP2,GAPDH,ANGPT2,CD47
PMID:29386111	(2018) Modeling Congenital Adrenal Hyperplasia and Testing Interventions for Adrenal Insufficiency Using Donor-Specific Reprogrammed Cells.	4	30	2.14	0.0034	9606.ENSP00000229239,9606.ENSP00000314897,9606.ENSP00000331327,9606.ENSP00000384092	GAPDH,ANGPT2,WT1,POMC
PMID:29484264	(2018) Propranolol can induce PTSD-like memory impairments in rats.	3	4	2.89	0.0034	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	GAPDH,CRH,POMC
PMID:29618931	(2018) Upregulated VEGFA and DLL4 act as potential prognostic genes for clear cell renal cell carcinoma.	4	20	2.31	0.0034	9606.ENSP00000219070,9606.ENSP00000229239,9606.ENSP00000314897,9606.ENSP00000451040	MMP2,GAPDH,ANGPT2,PGF
PMID:29867578	(2018) AMP-Activated Protein Kinase Mediates the Effect of Leptin on Avian Autophagy in a Tissue-Specific Manner.	4	34	2.08	0.0034	9606.ENSP00000212015,9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	SIRT1,GAPDH,CRH,POMC
PMID:29896451	(2018) Hypoxic Signalling in Tumour Stroma.	5	87	1.77	0.0034	9606.ENSP00000219070,9606.ENSP00000298552,9606.ENSP00000314897,9606.ENSP00000336762,9606.ENSP00000355361	MMP2,TSC1,ANGPT2,ANG,CD47
PMID:30304827	(2018) Cigarette Smoke During Breastfeeding in Rats Changes Glucocorticoid and Vitamin D Status in Obese Adult Offspring.	4	18	2.36	0.0034	9606.ENSP00000212015,9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	SIRT1,GAPDH,CRH,POMC
PMID:30513573	(2018) NQO1 is Required for beta-Lapachone-Mediated Downregulation of Breast-Cancer Stem-Cell Activity.	4	29	2.15	0.0034	9606.ENSP00000212015,9606.ENSP00000219070,9606.ENSP00000229239,9606.ENSP00000319788	SIRT1,MMP2,GAPDH,NQO1
PMID:30555510	(2018) Sex and beta-Endorphin Influence the Effects of Ethanol on Limbic Gabra2 Expression in a Mouse Binge Drinking Model.	3	4	2.89	0.0034	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	GAPDH,CRH,POMC
PMID:30631755	(2018) NAD Metabolism in Cancer Therapeutics.	4	29	2.15	0.0034	9606.ENSP00000212015,9606.ENSP00000219070,9606.ENSP00000229239,9606.ENSP00000319788	SIRT1,MMP2,GAPDH,NQO1
PMID:27628238	(2017) Electroacupuncture ameliorates abnormal defaecation and regulates corticotrophin-releasing factor in a rat model of stress.	3	5	2.79	0.0034	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	GAPDH,CRH,POMC
PMID:28495448	(2017) Nrf2 in keratinocytes modulates UVB-induced DNA damage and apoptosis in melanocytes through MAPK signaling.	4	16	2.41	0.0034	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000319788,9606.ENSP00000384092	GAPDH,CRH,NQO1,POMC
PMID:28859148	(2017) Stellate ganglion block attenuates chronic stress induced depression in rats.	3	5	2.79	0.0034	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	GAPDH,CRH,POMC
PMID:29254183	(2017) Therapeutic potential of an anti-angiogenic multimodal biomimetic peptide in hepatocellular carcinoma.	4	29	2.15	0.0034	9606.ENSP00000229239,9606.ENSP00000314897,9606.ENSP00000336762,9606.ENSP00000451040	GAPDH,ANGPT2,ANG,PGF
PMID:25975801	(2016) Bone Marrow-Derived Mesenchymal Stem Cells Improve Diabetic Neuropathy by Direct Modulation of Both Angiogenesis and Myelination in Peripheral Nerves.	4	22	2.27	0.0034	9606.ENSP00000219070,9606.ENSP00000229239,9606.ENSP00000314897,9606.ENSP00000451040	MMP2,GAPDH,ANGPT2,PGF
PMID:26919105	(2016) Role of erythropoietin in the angiogenic activity of bone marrow endothelial cells of MGUS and multiple myeloma patients.	4	29	2.15	0.0034	9606.ENSP00000219070,9606.ENSP00000229239,9606.ENSP00000314897,9606.ENSP00000451040	MMP2,GAPDH,ANGPT2,PGF
PMID:27286936	(2016) beta-endorphin regulates alcohol consumption induced by exercise restriction in female mice.	3	4	2.89	0.0034	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	GAPDH,CRH,POMC
PMID:25888625	(2015) A suppressive role of ionizing radiation-responsive miR-29c in the development of liver carcinoma via targeting WIP1.	4	25	2.22	0.0034	9606.ENSP00000212015,9606.ENSP00000219070,9606.ENSP00000229239,9606.ENSP00000331327	SIRT1,MMP2,GAPDH,WT1
PMID:26099922	(2015) Halofuginone inhibits phosphorylation of SMAD-2 reducing angiogenesis and leukemia burden in an acute promyelocytic leukemia mouse model.	4	24	2.23	0.0034	9606.ENSP00000219070,9606.ENSP00000229239,9606.ENSP00000314897,9606.ENSP00000336762	MMP2,GAPDH,ANGPT2,ANG
PMID:26575424	(2015) Formononetin, a novel FGFR2 inhibitor, potently inhibits angiogenesis and tumor growth in preclinical models.	4	25	2.22	0.0034	9606.ENSP00000219070,9606.ENSP00000229239,9606.ENSP00000314897,9606.ENSP00000451040	MMP2,GAPDH,ANGPT2,PGF
PMID:24561499	(2014) Next generation effects of female adolescent morphine exposure: sex-specific alterations in response to acute morphine emerge before puberty.	3	5	2.79	0.0034	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	GAPDH,CRH,POMC
PMID:24810959	(2014) WT1 regulates angiogenesis in Ewing Sarcoma.	4	24	2.23	0.0034	9606.ENSP00000219070,9606.ENSP00000229239,9606.ENSP00000314897,9606.ENSP00000331327	MMP2,GAPDH,ANGPT2,WT1
PMID:25236925	(2014) The angiogenic asset of soft tissue sarcomas: a new tool to discover new therapeutic targets.	4	30	2.14	0.0034	9606.ENSP00000219070,9606.ENSP00000314897,9606.ENSP00000336762,9606.ENSP00000451040	MMP2,ANGPT2,ANG,PGF
PMID:25329197	(2014) The antioxidant paradox: what are antioxidants and how should they be used in a therapeutic context for cancer.	4	30	2.14	0.0034	9606.ENSP00000212015,9606.ENSP00000314897,9606.ENSP00000331327,9606.ENSP00000451040	SIRT1,ANGPT2,WT1,PGF
PMID:25549350	(2014) HET0016, a selective inhibitor of 20-HETE synthesis, decreases pro-angiogenic factors and inhibits growth of triple negative breast cancer in mice.	4	33	2.1	0.0034	9606.ENSP00000219070,9606.ENSP00000314897,9606.ENSP00000336762,9606.ENSP00000451040	MMP2,ANGPT2,ANG,PGF
PMID:25574176	(2014) The shared pathoetiological effects of particulate air pollution and the social environment on fetal-placental development.	4	24	2.23	0.0034	9606.ENSP00000276571,9606.ENSP00000319788,9606.ENSP00000384092,9606.ENSP00000451040	CRH,NQO1,POMC,PGF
PMID:23537672	(2013) Pediatric sepsis: challenges and adjunctive therapies.	3	4	2.89	0.0034	9606.ENSP00000276571,9606.ENSP00000360997,9606.ENSP00000384092	CRH,ADAMTS13,POMC
PMID:23696855	(2013) Serum angiopoietin-2 and beta-hCG as predictors of prolonged uterine bleeding after medical abortion in the first trimester.	3	4	2.89	0.0034	9606.ENSP00000314897,9606.ENSP00000336762,9606.ENSP00000451040	ANGPT2,ANG,PGF
PMID:23941552	(2013) Vascular endothelial cells facilitated HCC invasion and metastasis through the Akt and NF-kappaB pathways induced by paracrine cytokines.	4	23	2.25	0.0034	9606.ENSP00000219070,9606.ENSP00000229239,9606.ENSP00000314897,9606.ENSP00000336762	MMP2,GAPDH,ANGPT2,ANG
PMID:22735575	(2012) Strain differences in the effects of chronic corticosterone exposure in the hippocampus.	4	17	2.38	0.0034	9606.ENSP00000219070,9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	MMP2,GAPDH,CRH,POMC
PMID:22915762	(2012) The unfolded protein response induces the angiogenic switch in human tumor cells through the PERKATF4 pathway.	4	24	2.23	0.0034	9606.ENSP00000229239,9606.ENSP00000314897,9606.ENSP00000336762,9606.ENSP00000451040	GAPDH,ANGPT2,ANG,PGF
PMID:35047419	(2021) Criminal of Adverse Pregnant Outcomes: A Perspective From Thyroid Hormone Disturbance Caused by SARS-CoV-2.	4	37	2.05	0.0041	9606.ENSP00000219070,9606.ENSP00000314897,9606.ENSP00000336762,9606.ENSP00000451040	MMP2,ANGPT2,ANG,PGF
PMID:35055124	(2022) The Role of Tumor Microenvironment in the Pathogenesis of Sezary Syndrome.	5	113	1.66	0.0042	9606.ENSP00000219070,9606.ENSP00000314897,9606.ENSP00000336762,9606.ENSP00000355361,9606.ENSP00000451040	MMP2,ANGPT2,ANG,CD47,PGF
PMID:32652776	(2021) Density-induced social stress alters oxytocin and vasopressin activities in the brain of a small rodent species.	3	7	2.64	0.0042	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	GAPDH,CRH,POMC
PMID:32880710	(2021) Influence of labor on direct and indirect determinants of placental 11beta-hydroxysteroid dehydrogenase activity.	3	7	2.64	0.0042	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	GAPDH,CRH,POMC
PMID:33001412	(2021) Aronia melanocarpa Ameliorates Adrenal Cytoarchitecture Against the Hexavalent Chromium-Induced Injury.	3	6	2.71	0.0042	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	GAPDH,CRH,POMC
PMID:33407613	(2021) Hypoxia and the phenomenon of immune exclusion.	5	109	1.67	0.0042	9606.ENSP00000212015,9606.ENSP00000219070,9606.ENSP00000314897,9606.ENSP00000355361,9606.ENSP00000451040	SIRT1,MMP2,ANGPT2,CD47,PGF
PMID:33627152	(2021) Au-siRNA@ aptamer nanocages as a high-efficiency drug and gene delivery system for targeted lung cancer therapy.	3	7	2.64	0.0042	9606.ENSP00000219070,9606.ENSP00000229239,9606.ENSP00000451040	MMP2,GAPDH,PGF
PMID:33628224	(2021) Secretagogin Mediates the Regulatory Effect of Electroacupuncture on Hypothalamic-Pituitary-Adrenal Axis Dysfunction in Surgical Trauma.	3	6	2.71	0.0042	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	GAPDH,CRH,POMC
PMID:33760112	(2021) MicroRNA-124 facilitates lens epithelial cell apoptosis by inhibiting SPRY2 and MMP-2.	3	7	2.64	0.0042	9606.ENSP00000212015,9606.ENSP00000219070,9606.ENSP00000229239	SIRT1,MMP2,GAPDH
PMID:34073327	(2021) Dual Stem Cell Therapy Improves the Myocardial Recovery Post-Infarction through Reciprocal Modulation of Cell Functions.	4	43	1.98	0.0042	9606.ENSP00000229239,9606.ENSP00000314897,9606.ENSP00000336762,9606.ENSP00000451040	GAPDH,ANGPT2,ANG,PGF
PMID:34299174	(2021) Cardiovascular and Cerebrovascular Implications of Growth Restriction: Mechanisms and Potential Treatments.	3	7	2.64	0.0042	9606.ENSP00000276571,9606.ENSP00000384092,9606.ENSP00000451040	CRH,POMC,PGF
PMID:34717666	(2021) Population variation alters aggression-associated oxytocin and vasopressin expressions in brains of Brandts voles in field conditions.	3	6	2.71	0.0042	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	GAPDH,CRH,POMC
PMID:34795321	(2021) Characterizing the postnatal hypothalamic-pituitary-adrenal axis response of in utero heat stressed pigs at 10 and 15 weeks of age.	3	6	2.71	0.0042	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	GAPDH,CRH,POMC
PMID:34858213	(2021) Differential Expression of Hypothalamic and Gill-crh System With Osmotic Stress in the Euryhaline Black Porgy, Acanthopagrus schlegelii.	3	6	2.71	0.0042	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	GAPDH,CRH,POMC
PMID:32190681	(2020) Developmental Timing Determines the Protective Effect of Maternal Electroacupuncture on Perinatal Nicotine Exposure-Induced Offspring Lung Phenotype.	3	6	2.71	0.0042	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	GAPDH,CRH,POMC
PMID:32429495	(2020) 6-Shogaol Protects Human Melanocytes against Oxidative Stress through Activation of the Nrf2-Antioxidant Response Element Signaling Pathway.	3	6	2.71	0.0042	9606.ENSP00000229239,9606.ENSP00000319788,9606.ENSP00000384092	GAPDH,NQO1,POMC
PMID:32581843	(2020) Differential Responses of Liver and Hypothalamus to the Nutritional Condition During Lactation and Adult Life.	3	7	2.64	0.0042	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	GAPDH,CRH,POMC
PMID:32784463	(2020) The Antiaging Effect of Active Fractions and Ent-11alpha-Hydroxy-15-Oxo-Kaur-16-En-19-Oic Acid Isolated from Adenostemma lavenia (L.) O. Kuntze at the Cellular Level.	3	7	2.64	0.0042	9606.ENSP00000212015,9606.ENSP00000229239,9606.ENSP00000319788	SIRT1,GAPDH,NQO1
PMID:32924742	(2020) Lilium davidii extract alleviates p-chlorophenylalanine-induced insomnia in rats through modification of the hypothalamic-related neurotransmitters, melatonin and homeostasis of the hypothalamic-pituitary-adrenal axis.	3	7	2.64	0.0042	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	GAPDH,CRH,POMC
PMID:33121202	(2020) Beyond Conventional: The New Horizon of Anti-Angiogenic microRNAs in Non-Small Cell Lung Cancer Therapy.	4	40	2.01	0.0042	9606.ENSP00000219070,9606.ENSP00000314897,9606.ENSP00000336762,9606.ENSP00000451040	MMP2,ANGPT2,ANG,PGF
PMID:33584280	(2020) Small-Conductance Ca(2+)-Activated K(+) Channels 2 in the Hypothalamic Paraventricular Nucleus Precipitates Visceral Hypersensitivity Induced by Neonatal Colorectal Distension in Rats.	3	6	2.71	0.0042	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	GAPDH,CRH,POMC
PMID:35117782	(2020) A nanomicelle with miR-34a and doxorubicin reverses the drug resistance of cisplatin in esophageal carcinoma cells by inhibiting SIRT1 signal pathway.	3	6	2.71	0.0042	9606.ENSP00000212015,9606.ENSP00000219070,9606.ENSP00000229239	SIRT1,MMP2,GAPDH
PMID:30336151	(2019) Predator odor stress blunts alcohol conditioned aversion.	3	7	2.64	0.0042	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	GAPDH,CRH,POMC
PMID:30711897	(2019) Sex differences in the regulation of brain IL-1beta in response to chronic stress.	3	7	2.64	0.0042	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	GAPDH,CRH,POMC
PMID:30889629	(2019) Sea cucumber extract TBL-12 inhibits the proliferation, migration, and invasion of human prostate cancer cells through the p38 mitogen-activated protein kinase and intrinsic caspase apoptosis pathway.	3	7	2.64	0.0042	9606.ENSP00000219070,9606.ENSP00000314897,9606.ENSP00000336762	MMP2,ANGPT2,ANG
PMID:31308626	(2019) Ginsenoside Rb1 pretreatment reverses hippocampal changes in BDNFTrkB mRNA and protein in rats subjected to acute immobilization stress.	3	7	2.64	0.0042	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	GAPDH,CRH,POMC
PMID:31564939	(2019) Effect of berberine on the HPA-axis pathway and skeletal muscle GLUT4 in type 2 diabetes mellitus rats.	3	6	2.71	0.0042	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	GAPDH,CRH,POMC
PMID:29386227	(2018) Role of 11beta-HSD type 1 in abnormal HPA axis activity during immune-mediated arthritis.	3	6	2.71	0.0042	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	GAPDH,CRH,POMC
PMID:29751542	(2018) Xiaoyaosan Improves Depressive-Like Behaviors in Mice through Regulating Apelin-APJ System in Hypothalamus.	3	7	2.64	0.0042	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	GAPDH,CRH,POMC
PMID:29805651	(2018) Nicotinamide N-methyltransferase enhances the progression of prostate cancer by stabilizing sirtuin 1.	3	6	2.71	0.0042	9606.ENSP00000212015,9606.ENSP00000219070,9606.ENSP00000229239	SIRT1,MMP2,GAPDH
PMID:30181699	(2018) Tetramethylpyrazine reverses anxiety-like behaviors in a rat model of post-traumatic stress disorder.	3	6	2.71	0.0042	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	GAPDH,CRH,POMC
PMID:30513893	(2018) Effects of Oxytocin on Fear Memory and Neuroinflammation in a Rodent Model of Posttraumatic Stress Disorder.	3	7	2.64	0.0042	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	GAPDH,CRH,POMC
PMID:28346369	(2017) Metabolic Impact of Light Phase-Restricted Fructose Consumption Is Linked to Changes in Hypothalamic AMPK Phosphorylation and Melatonin Production in Rats.	3	7	2.64	0.0042	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	GAPDH,CRH,POMC
PMID:28591277	(2017) Evaluation of nicotinamide as an anti-inflammatory and anti-angiogenic agent in uveal melanoma cell lines.	3	7	2.64	0.0042	9606.ENSP00000314897,9606.ENSP00000336762,9606.ENSP00000451040	ANGPT2,ANG,PGF
PMID:26940669	(2016) Hsa-miR-34a mediated repression of corticotrophin releasing hormone receptor 1 regulates pro-opiomelanocortin expression in patients with complex regional pain syndrome.	3	6	2.71	0.0042	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	GAPDH,CRH,POMC
PMID:26950482	(2016) Transgenic mice overexpressing nesfatinnucleobindin-2 are susceptible to high-fat diet-induced obesity.	3	7	2.64	0.0042	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	GAPDH,CRH,POMC
PMID:27073616	(2016) Effect of dexamethasone on hypothalamic expression of appetite-related genes in chickens under different diet and feeding conditions.	3	6	2.71	0.0042	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	GAPDH,CRH,POMC
PMID:27843317	(2016) Effect of Yi-nao-jie-yu decoction on gamma-aminobutyric acid type A receptor in the hippocampus and serum inflammatory factors in a rat model of poststroke anxiety.	3	7	2.64	0.0042	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	GAPDH,CRH,POMC
PMID:27966656	(2016) Neonatal repetitive pain in rats leads to impaired spatial learning and dysregulated hypothalamic-pituitary-adrenal axis function in later life.	3	7	2.64	0.0042	9606.ENSP00000229239,9606.ENSP00000276571,9606.ENSP00000384092	GAPDH,CRH,POMC
PMID:28116292	(2016) Rehabilitation Training and Resveratrol Improve the Recovery of Neurological and Motor Function in Rats after Cerebral Ischemic Injury through the Sirt1 Signaling Pathway.	3	7	2.64	0.0042	9606.ENSP00000212015,9606.ENSP00000229239,9606.ENSP00000319788	SIRT1,GAPDH,NQO1
